Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,12,CHI,L
2,21-Oct,19,BOS,L
3,22-Oct,10,TOR,W
4,24-Oct,14,TOR,L
5,26-Oct,18,POR,W
6,27-Oct,26,GSW,L
7,29-Oct,23,SAC,L
8,1-Nov,19,GSW,W
9,2-Nov,20,SAC,W
10,4-Nov,18,IND,L
11,7-Nov,16,POR,L
12,10-Nov,18,CHA,W
13,12-Nov,24,CHA,W
14,14-Nov,30,PHX,W
15,20-Nov,21,CLE,L
16,21-Nov,17,MIN,L
17,23-Nov,15,WAS,W
18,25-Nov,38,WAS,W
19,27-Nov,32,ATL,W
20,30-Nov,23,BOS,L
21,2-Dec,28,BOS,W
22,5-Dec,15,MEM,L
23,6-Dec,21,DET,L
24,8-Dec,31,LAC,W
25,10-Dec,12,SAS,L
26,12-Dec,22,IND,W
27,14-Dec,15,OKC,W
28,17-Dec,22,SAS,W
29,20-Dec,27,CHI,L
30,23-Dec,18,IND,L
31,28-Dec,23,LAL,W
32,30-Dec,22,DEN,L
33,31-Dec,32,UTA,W
34,2-Jan,31,LAC,W
35,4-Jan,30,LAL,L
36,6-Jan,21,PHX,W
37,8-Jan,10,BKN,L
38,12-Jan,24,MIL,W
39,14-Jan,20,MIL,W
40,16-Jan,20,ATL,L
41,18-Jan,26,NOP,W
42,20-Jan,18,DAL,L
43,22-Jan,18,NOP,W
44,24-Jan,30,BOS,W
45,27-Jan,20,ORL,W
46,29-Jan,17,CHA,L
47,31-Jan,18,CLE,W
48,2-Feb,32,NYK,L
49,4-Feb,16,MIL,L
50,8-Feb,38,IND,W
