Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,28,DAL,W
2,21-Oct,33,POR,L
3,23-Oct,35,LAC,W
4,25-Oct,34,GSW,W
5,28-Oct,16,NOP,W
6,30-Oct,30,HOU,W
7,1-Nov,18,MIN,W
8,4-Nov,25,POR,L
9,5-Nov,24,POR,W
10,7-Nov,28,PHI,L
11,9-Nov,32,MIN,W
12,11-Nov,17,ORL,L
13,14-Nov,25,MIA,L
14,16-Nov,27,GSW,W
15,18-Nov,49,UTA,L
16,20-Nov,20,NYK,W
17,22-Nov,25,LAL,W
18,25-Nov,21,DET,W
19,26-Nov,27,UTA,W
20,28-Nov,44,SAC,W
21,30-Nov,51,CHI,W
22,2-Dec,41,HOU,L
23,4-Dec,20,SAS,W
24,5-Dec,11,DAL,L
25,7-Dec,17,BOS,L
26,9-Dec,14,NOP,L
27,15-Dec,14,LAC,W
28,17-Dec,58,NOP,W
29,7-Feb,19,BKN,W
30,10-Feb,21,IND,W
31,14-Feb,32,SAC,W
32,16-Feb,19,LAC,L
33,24-Feb,25,OKC,W
34,26-Feb,24,MIL,L
35,1-Mar,37,CHA,W
36,3-Mar,35,CHI,W
37,5-Mar,36,DAL,W
38,8-Mar,44,OKC,W
39,11-Mar,28,SAC,L
40,13-Mar,32,GSW,L
41,14-Mar,30,MIL,L
42,16-Mar,19,ORL,W
43,19-Mar,46,OKC,L
44,22-Mar,33,LAL,L
45,24-Mar,32,SAC,L
46,25-Mar,29,PHI,W
47,27-Mar,24,UTA,W
48,29-Mar,29,MIN,W
49,31-Mar,27,DEN,W
50,2-Apr,22,OKC,W
