Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,12,UTA,L
2,22-Oct,16,OKC,W
3,24-Oct,8,POR,L
4,26-Oct,13,LAL,W
5,28-Oct,13,UTA,W
6,30-Oct,21,LAL,L
7,3-Nov,24,OKC,W
8,5-Nov,13,SAS,W
9,7-Nov,19,SAS,W
10,9-Nov,18,IND,W
11,11-Nov,14,BOS,L
12,13-Nov,23,CHI,W
13,16-Nov,21,NYK,L
14,22-Nov,10,DET,L
15,25-Nov,21,LAC,W
16,28-Nov,31,HOU,W
17,30-Nov,26,HOU,W
18,2-Dec,20,ATL,L
19,4-Dec,18,NOP,L
20,6-Dec,11,DAL,L
21,8-Dec,21,POR,W
22,10-Dec,30,UTA,W
23,14-Dec,5,WAS,W
24,16-Dec,23,LAL,L
25,18-Dec,6,CHA,W
26,23-Dec,25,POR,W
27,25-Dec,26,PHX,W
28,27-Dec,25,SAC,W
29,30-Dec,14,MIA,W
30,2-Jan,14,MIN,L
31,5-Jan,18,LAC,W
32,6-Jan,18,CLE,W
33,9-Jan,34,LAL,W
34,11-Jan,16,PHX,W
35,13-Jan,24,LAC,W
36,15-Jan,18,ORL,W
37,17-Jan,17,POR,W
38,18-Jan,28,MIN,W
39,20-Jan,17,IND,W
40,22-Jan,26,OKC,L
41,24-Jan,25,NOP,W
42,28-Jan,22,PHI,L
43,31-Jan,32,NOP,W
44,2-Feb,33,GSW,W
45,4-Feb,41,ATL,W
46,23-Feb,16,CLE,W
47,25-Feb,8,MEM,L
48,26-Feb,21,LAC,W
49,28-Feb,32,HOU,W
50,3-Mar,22,MEM,W
