Game Number,Date,Points Per Game,Opponent,Win/Loss
1,18-Oct,35,PHI,W
2,21-Oct,29,MIA,W
3,22-Oct,40,ORL,W
4,24-Oct,26,CHI,L
5,28-Oct,32,CLE,L
6,30-Oct,23,WAS,W
7,2-Nov,26,CLE,L
8,4-Nov,36,CHI,W
9,5-Nov,26,NYK,W
10,7-Nov,39,MEM,W
11,9-Nov,31,DET,W
12,11-Nov,34,DEN,W
13,12-Nov,43,DET,W
14,14-Nov,27,OKC,W
15,16-Nov,19,ATL,W
16,18-Nov,19,NOP,W
17,21-Nov,28,CHI,L
18,23-Nov,37,DAL,W
19,25-Nov,30,SAC,W
20,28-Nov,35,CHA,W
21,30-Nov,49,MIA,W
22,2-Dec,14,MIA,L
23,4-Dec,29,BKN,W
24,5-Dec,31,TOR,W
25,7-Dec,25,PHX,W
26,10-Dec,18,GSW,L
27,12-Dec,20,LAC,L
28,13-Dec,44,LAL,W
29,16-Dec,31,ORL,L
30,21-Dec,41,IND,L
31,23-Dec,30,MIN,W
32,25-Dec,41,MIL,W
33,27-Dec,48,HOU,W
34,29-Dec,29,LAC,W
35,1-Jan,25,DEN,L
36,3-Jan,27,OKC,L
37,5-Jan,29,DAL,W
38,7-Jan,34,SAS,W
39,9-Jan,32,CHI,W
40,11-Jan,31,NOP,W
41,12-Jan,20,BKN,W
42,14-Jan,33,CHA,W
43,16-Jan,51,CHA,W
44,19-Jan,34,GSW,W
45,23-Jan,26,ORL,L
46,24-Jan,31,MIA,L
47,26-Jan,35,NYK,L
48,28-Jan,30,LAL,W
49,1-Feb,31,BKN,W
50,3-Feb,20,PHX,L
