Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,24,CHI,L
2,21-Oct,18,BOS,L
3,22-Oct,24,TOR,W
4,24-Oct,26,TOR,L
5,26-Oct,17,POR,W
6,27-Oct,27,GSW,L
7,29-Oct,13,SAC,L
8,1-Nov,23,GSW,W
9,7-Nov,16,POR,L
10,10-Nov,35,CHA,W
11,12-Nov,20,CHA,W
12,14-Nov,16,PHX,W
13,16-Nov,13,TOR,L
14,2-Dec,25,BOS,W
15,5-Dec,18,MEM,L
16,8-Dec,26,LAC,W
17,10-Dec,30,SAS,L
18,12-Dec,20,IND,W
19,15-Dec,20,HOU,W
20,17-Dec,26,SAS,W
21,23-Dec,20,IND,L
22,28-Dec,27,LAL,W
23,30-Dec,17,DEN,L
24,2-Jan,9,LAC,W
25,4-Jan,27,LAL,L
26,6-Jan,20,PHX,W
27,8-Jan,26,BKN,L
28,10-Jan,35,OKC,W
29,12-Jan,17,MIL,W
30,14-Jan,16,MIL,W
31,16-Jan,34,ATL,L
32,18-Jan,18,NOP,W
33,20-Jan,12,DAL,L
34,22-Jan,18,NOP,W
35,27-Jan,29,ORL,W
36,29-Jan,28,CHA,L
37,31-Jan,23,CLE,W
38,2-Feb,10,NYK,L
39,4-Feb,32,MIL,L
40,8-Feb,25,IND,W
41,10-Feb,16,HOU,W
42,11-Feb,22,ORL,W
43,13-Feb,24,DEN,L
44,15-Feb,13,BKN,L
45,24-Feb,23,MIL,L
46,25-Feb,28,CHA,L
47,27-Feb,23,PHI,W
48,1-Mar,16,PHI,L
49,3-Mar,33,NYK,L
50,4-Mar,15,ATL,W
