Game Number,Date,Points Per Game,Opponent,Win/Loss
1,18-Oct,26,BOS,L
2,20-Oct,15,MIL,L
3,22-Oct,40,SAS,L
4,24-Oct,26,IND,W
5,26-Oct,31,TOR,L
6,29-Oct,25,CHI,W
7,7-Nov,33,PHX,W
8,10-Nov,26,ATL,L
9,12-Nov,42,ATL,W
10,13-Nov,59,UTA,W
11,18-Nov,32,MIL,W
12,19-Nov,32,MIN,L
13,28-Nov,30,ATL,W
14,30-Nov,19,CLE,L
15,2-Dec,35,MEM,L
16,5-Dec,39,HOU,L
17,9-Dec,38,LAL,W
18,11-Dec,53,CHA,W
19,13-Dec,31,SAC,W
20,16-Dec,34,GSW,W
21,19-Dec,28,TOR,W
22,21-Dec,22,DET,W
23,23-Dec,44,LAC,W
24,25-Dec,35,NYK,W
25,27-Dec,48,WAS,L
26,30-Dec,37,NOP,L
27,31-Dec,16,OKC,W
28,2-Jan,42,NOP,W
29,10-Jan,36,DET,W
30,12-Jan,30,OKC,L
31,14-Jan,30,UTA,W
32,15-Jan,35,LAL,W
33,17-Jan,41,LAC,W
34,19-Jan,32,POR,W
35,25-Jan,26,BKN,W
36,28-Jan,47,DEN,W
37,30-Jan,30,ORL,L
38,1-Feb,28,ORL,W
39,3-Feb,33,SAS,W
40,5-Feb,31,NYK,L
41,8-Feb,28,BOS,L
42,10-Feb,35,NYK,W
43,11-Feb,37,BKN,W
44,13-Feb,23,HOU,W
45,15-Feb,29,CLE,W
46,23-Feb,27,MEM,W
47,25-Feb,41,BOS,L
48,27-Feb,27,MIA,L
49,2-Mar,35,DAL,L
50,4-Mar,31,MIL,W
