Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,27,UTA,L
2,21-Oct,26,GSW,W
3,22-Oct,19,OKC,W
4,24-Oct,9,POR,L
5,26-Oct,31,LAL,W
6,28-Oct,12,UTA,W
7,30-Oct,23,LAL,L
8,3-Nov,15,OKC,W
9,5-Nov,21,SAS,W
10,7-Nov,26,SAS,W
11,9-Nov,24,IND,W
12,11-Nov,29,BOS,L
13,13-Nov,8,CHI,W
14,22-Nov,31,DET,L
15,23-Nov,39,OKC,W
16,25-Nov,19,LAC,W
17,28-Nov,32,HOU,W
18,30-Nov,17,HOU,W
19,2-Dec,24,ATL,L
20,4-Dec,32,NOP,L
21,6-Dec,19,DAL,L
22,8-Dec,33,POR,W
23,10-Dec,31,UTA,W
24,14-Dec,43,WAS,W
25,16-Dec,25,LAL,L
26,18-Dec,40,CHA,W
27,20-Dec,13,MEM,W
28,23-Dec,29,POR,W
29,25-Dec,41,PHX,W
30,27-Dec,20,SAC,W
31,28-Dec,40,SAC,L
32,30-Dec,19,MIA,W
33,1-Jan,30,BOS,W
34,2-Jan,24,MIN,L
35,5-Jan,12,LAC,W
36,6-Jan,28,CLE,W
37,9-Jan,14,LAL,W
38,11-Jan,21,PHX,W
39,15-Jan,17,ORL,W
40,17-Jan,36,POR,W
41,18-Jan,31,MIN,W
42,24-Jan,25,NOP,W
43,28-Jan,24,PHI,L
44,31-Jan,26,NOP,W
45,2-Feb,22,GSW,W
46,4-Feb,14,ATL,W
47,7-Feb,20,MIN,W
48,9-Feb,29,ORL,L
49,11-Feb,30,CHA,W
50,13-Feb,27,MIA,W
