Game Number,Date,Points Per Game,Opponent,Win/Loss
1,19-Oct,23,CLE,W
2,21-Oct,37,BKN,L
3,22-Oct,23,MIA,L
4,24-Oct,23,MIA,W
5,26-Oct,20,PHI,W
6,28-Oct,26,PHI,L
7,31-Oct,31,ATL,W
8,2-Nov,22,SAS,W
9,4-Nov,18,DAL,L
10,28-Nov,18,CLE,W
11,30-Nov,23,NOP,L
12,2-Dec,24,BKN,L
13,3-Dec,26,ORL,W
14,5-Dec,29,BOS,L
15,7-Dec,25,LAL,W
16,9-Dec,36,ORL,L
17,11-Dec,19,ORL,L
18,14-Dec,19,SAC,L
19,16-Dec,17,BKN,L
20,18-Dec,27,GSW,L
21,19-Dec,38,PHI,L
22,21-Dec,52,NYK,W
23,23-Dec,26,CLE,W
24,27-Dec,36,LAC,L
25,29-Dec,25,MEM,L
26,30-Dec,26,PHX,W
27,2-Jan,26,IND,L
28,4-Jan,11,MIL,L
29,6-Jan,18,NYK,L
30,8-Jan,27,POR,W
31,10-Jan,28,CHA,W
32,12-Jan,35,CHA,W
33,14-Jan,15,ATL,L
34,16-Jan,20,NYK,W
35,17-Jan,23,MIL,L
36,19-Jan,13,MIN,L
37,21-Jan,29,BOS,L
38,22-Jan,24,NYK,W
39,25-Jan,26,SAC,W
40,27-Jan,21,GSW,L
41,28-Jan,24,POR,W
42,30-Jan,19,PHX,L
43,1-Feb,21,UTA,L
44,3-Feb,23,HOU,W
45,5-Feb,19,MEM,W
46,8-Feb,37,SAS,W
47,10-Feb,35,UTA,L
48,12-Feb,28,DET,W
49,14-Feb,26,ORL,W
50,23-Feb,26,NOP,W
